Subject,Predicate,Object
Physical copy of Assassin's Creed 2(WHO),dcterms:publisher,Ubisoft
Physical copy of Assassin's Creed 2(WHEN),fabio:publicationDate,11/17/09
Physical copy of Assassin's Creed 2(WHERE),schema:targetPlatform,XBOX 360
Physical copy of Assassin's Creed 2(WHAT),crm:P2_has_type,DVD-ROM
Physical copy of Assassin's Creed 2(WHAT),crm:P35_was_identified_by,525349-CVR
Physical copy of Assassin's Creed 2(WHAT),schema:encoding,NTSC
Physical copy of Assassin's Creed 2(WHAT),schema:contentRating,Mature 17+
